cluster,variable,period_shown,clusters_from,N_in_cluster,mean,std
0,t2_MAAS_total,t2,t3,6,66.83333333333333,8.518607084885804
1,t2_MAAS_total,t2,t3,107,76.18691588785046,6.656151702963087
0,t3_MAAS_total,t3,t3,7,74.0,7.302967433402217
1,t3_MAAS_total,t3,t3,114,79.32456140350877,6.523606709190572
0,after_MPAS_total,after,t3,7,74.65714285714284,5.833768691237001
0,after_DES_total,after,t3,7,9.03061224489796,11.175992943365936
0,after_LHQ_total,after,t3,7,40.285714285714285,9.481812163545632
0,after_DERS_total,after,t3,7,79.0,8.981462390204989
0,after_CTQ_total,after,t3,7,32.142857142857146,5.304984179322042
1,after_MPAS_total,after,t3,103,79.27281553398058,9.075999314878656
1,after_DES_total,after,t3,103,4.809292649098475,5.155110949583187
1,after_LHQ_total,after,t3,103,37.310679611650485,8.579534616719148
1,after_DERS_total,after,t3,103,70.10679611650485,20.197511311146876
1,after_CTQ_total,after,t3,103,32.398058252427184,8.200119326995525
0,b_DERS_total,b,after,97,70.58762886597938,17.60726210102406
0,b_LHQ_total,b,after,97,35.76288659793814,7.524644504166914
0,b_DES_average,b,after,97,5.5780559646539025,4.985481498631389
0,b_ctq_total,b,after,97,31.484536082474225,8.240036157462454
1,b_DERS_total,b,after,21,80.52380952380952,18.228052687050937
1,b_LHQ_total,b,after,21,43.80952380952381,11.227729278972875
1,b_DES_average,b,after,21,9.285714285714286,6.35272719838833
1,b_ctq_total,b,after,21,34.42857142857143,9.389203526239209
0,t1_MAAS_total,t1,after,92,71.77173913043478,7.630337455803708
0,t1_DES_total,t1,after,92,4.468167701863353,3.81268882973759
1,t1_MAAS_total,t1,after,21,69.57142857142857,7.44023809142845
1,t1_DES_total,t1,after,21,8.316326530612244,3.9092754318840672
0,t2_MAAS_total,t2,after,93,76.56989247311827,7.220739829405605
1,t2_MAAS_total,t2,after,21,72.19047619047619,6.297769824462051
0,t3_MAAS_total,t3,after,88,79.82954545454545,6.4044194347935015
1,t3_MAAS_total,t3,after,19,77.73684210526316,5.914596870484995
0,after_MPAS_total,after,after,99,80.47272727272727,7.4422925228916785
0,after_DES_total,after,after,99,3.975468975468975,3.946304552173987
0,after_LHQ_total,after,after,99,36.313131313131315,8.143667208637023
0,after_DERS_total,after,after,99,66.08080808080808,17.119434455467157
0,after_CTQ_total,after,after,99,31.04040404040404,7.409204413374436
1,after_MPAS_total,after,after,22,69.11363636363636,9.055295501714815
1,after_DES_total,after,after,22,7.9058441558441555,7.44292785829661
1,after_LHQ_total,after,after,22,43.13636363636363,8.565131164288838
1,after_DERS_total,after,after,22,91.86363636363636,19.68633912264919
1,after_CTQ_total,after,after,22,36.36363636363637,10.504173567571241
