,CT003_ses2,CT007_ses2,CT010_ses2,CT012_ses2,CT013_ses2,CT018_ses2,CT027_ses2,CT029_ses2,CT032_ses2,CT039_ses2,CT041_ses2,CT043_ses2,CT046_ses2,CT062_ses2,NT002_ses2,NT005_ses2,NT015_ses2,NT016_ses2,NT017_ses2,NT020_ses2,NT025_ses2,NT026_ses2,NT027_ses2,NT031_ses2,NT033_ses2,NT036_ses2,NT040_ses2,NT041_ses2,NT044_ses2,NT047_ses2,NT049_ses2,NT051_ses2,NT056_ses2,NT059_ses2,NT081_ses2,NT082_ses2,NT090_ses2,NT093_ses2,NT096_ses2
NT033_ses2,2.3291604556482044,2.8678520543436985,2.334162252096157,2.3022805102863595,2.6799658136160693,1.9479375890197617,2.4874723456870065,2.981374620807305,2.1170584125352474,2.7042152143461498,2.0026216133399637,2.508264819992218,1.919843630028288,2.626269157294549,2.693409958113018,3.1193374592232646,2.919534436583123,2.455616022577487,2.9060934078966976,2.795614937237216,3.1174303269040116,2.3983898941945494,2.776537512611811,2.297995339923342,0.0,2.1797105210394823,2.521802776775213,2.2175992834207947,2.5442066416612983,2.370074350721004,2.1934979369879586,2.184472196598241,3.216248865938137,2.387658089883456,2.248329508696978,2.2727162250637334,1.9403490399649168,2.040174988098994,2.5332747250669
NT036_ses2,2.9288469041523904,1.950080663380113,2.270600964190617,1.5906333320489403,2.2954476838608966,1.4940917448166715,1.7445477325344074,1.8868130423550318,1.6022351785260622,1.8644939600103783,1.910780264112779,2.4351450702526773,1.369750943496452,1.6261226468434098,2.093224139940155,2.0599068469784334,2.8004450612858296,2.3250619285887226,2.556034758629059,1.747092659848939,2.5007095075580485,1.9181017880614026,2.804083949080214,2.134719202554292,2.1797105210394823,0.0,2.017589263754999,1.8600259978545655,1.6800225645493556,2.2038183080372655,1.9775427701206516,2.49215167820982,3.0489965524577074,1.7094115179577907,1.5882582051899499,2.5111782109103657,1.7654178159788656,2.1259780032765185,1.9464306208982043
NT040_ses2,2.6209144759077625,2.3669303235926846,2.2891976826537292,2.339548453636663,2.6524065651640774,1.7475967049771488,2.297245005690773,2.1225115909335295,1.8375410344863905,2.2117631305785332,1.7873190411804063,2.5333517037472717,2.1323229991741037,2.1736447682475495,1.9956855172581112,1.7955381210733632,1.7780086904363772,2.113717231686703,3.1715842171770063,2.33745988549759,2.15967700982663,2.0635428231942514,2.2312574156021476,2.0610579325454657,2.521802776775213,2.017589263754999,0.0,2.115605064585839,1.564299719281313,1.75451187660788,2.2076068832947264,2.7564367701604757,3.1466628468966413,1.8023510753927134,1.4568455990063276,2.744106743751626,2.1451958001327984,2.2678966193115424,2.277852609109087
NT041_ses2,2.956589097220614,2.059676710983244,2.622782884946466,2.2076145008466757,2.2683628135767315,1.8120083693027005,2.2703681015178057,2.2612503610238694,2.1449749869124584,2.175141106160664,2.242448503515798,2.7129021610938593,1.8058319919233177,2.129143236057949,2.6170757980502466,2.2538296514757152,2.306604959492915,2.4848541231887116,2.5300145130525604,1.7926330862507602,2.8370378096049795,2.193139333150429,2.208898503991072,1.999375576410083,2.2175992834207947,1.8600259978545655,2.115605064585839,0.0,1.9020666897829015,1.6657738049626578,2.276953246552177,2.8306895759250454,3.648560303124408,2.3297150089367937,2.1612043427169425,2.079332568020553,1.8585548651582477,2.0821900015240615,1.994893202407961
NT044_ses2,2.631174449249751,2.076261315562798,2.538420312630153,2.15236798736503,2.554167788295649,1.6010955341655722,2.155842735656896,2.077693044457078,1.9533245849767533,1.9145553338859347,2.0060557974226105,2.568354407076484,2.025936037377194,1.8740160064109541,2.0621722942536915,1.4202671352285359,2.098213232096286,1.7678372493112526,2.7346918632353687,2.445480680842375,2.7059913270434857,2.22025681594517,2.400640097055828,2.1849678467039078,2.5442066416612983,1.6800225645493556,1.564299719281313,1.9020666897829015,0.0,2.067628164867471,1.8421600444326198,2.733341130744693,3.108031680038009,2.103950331294169,1.7332167730427304,2.445354380434439,2.0229360474313975,2.3048772707040173,2.373821820050878
NT047_ses2,3.058869900455662,2.463566242482739,2.745475505629447,2.3992873649644424,2.373181104566718,1.9477016882898863,2.361326710818374,2.195727690351747,2.1436568723580853,2.0762061538869103,2.3781356141337042,2.7331420688402837,2.22664181660613,2.188623262047728,2.393752932112765,2.4224826880889445,1.9934529141955108,2.6435612884695887,2.8962894231857805,2.0434094737072974,2.6538771613123635,1.9450520727458807,2.4702971161511282,2.2941207301029376,2.370074350721004,2.2038183080372655,1.75451187660788,1.6657738049626578,2.067628164867471,0.0,2.2599404773429943,3.081744555960339,3.792405442340236,2.415727081234,2.0586375650566002,2.397546564107878,1.8943603730662335,2.2115223722229596,2.2890343485835256
NT049_ses2,2.4387221648830475,2.4875909938085057,1.96826622582728,1.6863236780525144,2.458374924654212,1.7690335225654548,2.092605422903273,2.4136120855096483,1.8951104631960862,1.7200537033638506,2.1621217605591596,1.8576790529161555,1.8366950305566074,2.1385594092132143,2.1933116892529227,2.5051964720471895,2.719066157966226,2.006305170224671,2.664873273608681,2.6077177522672352,2.4534800694667194,2.1039937963548936,2.8810826199046797,2.3234204906160962,2.1934979369879586,1.9775427701206516,2.2076068832947264,2.276953246552177,1.8421600444326198,2.2599404773429943,0.0,2.074993939792391,2.639286591939272,2.0844820824635275,2.023199510098679,2.8128686888414802,1.8414868420269475,1.6263836111741088,2.3003931102209862
NT051_ses2,2.620162701169346,2.7824831024545036,2.1460451713939355,2.319468881398417,2.708592297102565,1.8897971293300606,2.71269765516321,2.975748509545415,2.6212344993724885,2.269802858692175,2.7155069353232992,2.2430087084359642,1.9255547106774014,2.328917503911351,3.018190831535013,2.952236318958994,3.1769386956925505,2.701392517401603,3.2193241043894454,3.22194461803217,2.8835033633767444,2.4263480742409955,3.0768423272035,2.262044241929718,2.184472196598241,2.49215167820982,2.7564367701604757,2.8306895759250454,2.733341130744693,3.081744555960339,2.074993939792391,0.0,2.6234418369015216,2.4802083696219555,2.6040378176113195,2.96659540451103,2.5141178595914626,1.914220398686367,2.5952356201257842
NT056_ses2,3.209910255225641,3.5272358685922978,3.2055169452646166,3.104492152092841,3.480504073201141,2.9490872684378275,2.852173827288285,3.3408215239123247,3.048120775564817,3.1896949009828552,2.9478668725037176,3.359579111175449,2.7989145558430284,3.0307911282043802,3.22510171614722,3.3043149355913517,4.0968217248860785,2.890570486171672,4.156691684491348,3.835672508365559,3.631029334043436,3.0517158547756686,3.9117477014930753,2.8457461570940974,3.216248865938137,3.0489965524577074,3.1466628468966413,3.648560303124408,3.108031680038009,3.792405442340236,2.639286591939272,2.6234418369015216,0.0,3.1208664792650778,3.1120685927420646,4.13075778373595,2.807823023364104,3.1565676553489888,3.488722498650697
NT059_ses2,2.834735711311146,2.3064643709315886,1.7032058830797345,2.0236673286648097,2.523095628958417,1.6384105268825677,2.224735902245602,2.28832010957562,2.187057544473589,1.9981760075473938,2.1233439393188895,2.17349236351621,1.9755461640800316,2.254924669801771,1.7409355381276121,2.3954751933250984,2.3103776253899624,2.352762316809561,2.724081848709679,2.1153630806237347,2.5373966381812685,1.9939465864703714,2.260387345844529,2.0831936446670354,2.387658089883456,1.7094115179577907,1.8023510753927134,2.3297150089367937,2.103950331294169,2.415727081234,2.0844820824635275,2.4802083696219555,3.1208664792650778,0.0,1.7633297720922714,2.8155233491469898,1.901837026672782,1.9870131063180074,2.150575261192513
