Subject_Code,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,Cluster
NT044_ses1,-0.0007825117781875,-0.0010585474839988,0.0015510867224041,0.0012213549118967,-0.0007716109218192,-0.0007332928773958,-0.0018851030217598,-0.0026946675305743,-0.0017345830458522,-0.0021701820432865,0.0036458048635127,0.002920251394287,0
NT047_ses1,-0.0033738675065538,0.0016550825826703,0.0023415771299323,-0.0008913964894894,-0.0008316305631118,0.0016456962872023,0.0017496358982447,-0.0054678300382418,-0.00243398488801,0.0027617460276494,0.0014144156640805,-0.0006720951414444,0
NT048_ses1,-0.0005998154345065,-0.0041673647895245,-0.0010411515836981,-0.0027104870067665,-0.0004138012918927,-0.0033845723181849,0.0016729763364881,-0.00146197064861,-0.003906688466476,0.000912517244749,-0.0007499910105479,-0.001057650166569,1
NT049_ses1,0.0013892587605384,-0.0008311393045616,-0.0017581393307385,0.0022190445799057,-8.264345094758474e-05,0.0014450459184424,-0.0009317853178935,-0.0007306334317632,0.0001801112854904,0.000522095859787,0.001268368697186,0.0015314782471378,1
NT051_ses1,-0.000849598093961,-0.0051357997941343,0.0002861769039808,0.0009113679242482,0.0015092844565841,0.0026139896054683,-0.0005113557061113,0.0039764408776569,-0.0004134994404661,0.0038661492533647,0.0011497902079566,-0.0004766306425981,1
NT052_ses1,0.003880869988461,-0.0010574069782438,-0.0001211585571729,-0.0001250866889456,0.0003436502148119,-0.0011258697547234,0.0003123343855415,-0.0012520295830363,-0.0002439567019471,0.0021968145788216,0.0049929765061357,-0.0006271164436448,1
NT053_ses1,-0.00070709099213,-0.0039237512064404,-0.000763896667723,-0.0009785960219013,-0.0048081389578552,-5.8485863780233016e-05,-0.0036743961387986,0.0015395364863145,-0.0017595471403038,-0.0005959046294694,0.0010676200081378,0.0018472891010745,1
NT055_ses1,0.0031568574222628,-0.0002331328553891,0.0032601732775941,0.0013206368958419,0.0010095360787026,-0.0025168805642896,-0.0015461201749064,0.0012505639645652,-2.69298036519513e-05,0.0006376007341596,0.001445862366107,0.0002040812713088,1
NT056_ses1,0.0018984944391492,6.677859247566063e-05,-0.0006287244139128,0.0009960773390015,0.0007035877076854,0.0010753084843593,0.0014523838997366,0.0006991969804447,0.0021414530443258,0.0016252678265507,-0.0002386578316206,0.0011276911721718,1
NT057_ses1,-6.905138033964648e-05,-0.0039486861580549,0.0009422425563685,-0.0034924680312815,-0.0028326339931055,0.0011075074193625,0.003825427584037,-0.0005404755981079,-0.0013602013219519,-0.0005857432465358,0.0001737825901602,0.0033843897261187,1
NT059_ses1,-0.0019315526469352,0.0019255416561825,0.0031934813459202,0.0007809803383958,-0.000338865181175,-0.0046571435838911,0.0044121510103222,-0.0007856164636715,-0.0064127775595141,-0.0012023909094527,-4.755268145645705e-05,0.0026877349959218,0
NT060_ses1,-0.0028371708838316,-0.0062998677126341,0.0010139760222547,0.0055450016984613,-0.0013466783902932,-0.0003206257093639,-0.0017264023056485,-0.0066374601612505,0.0016743642512747,0.0008661067979905,-0.0010100967221845,0.0005394949370507,1
NT063_ses1,0.0008382591029345,-0.000689232339117,0.0018058990916146,0.0011023232316553,0.0001595450470413,-0.003282648906402,-0.0019554206799185,-0.0011101033635212,-0.0008301435983182,0.0013756268392962,0.0006128732115452,-0.0024448335300036,1
NT065_ses1,0.0014907430153779,8.156544600101902e-06,-0.0002008041019003,-0.000974893547048,0.0006896056560623,-0.0017049272856859,0.0014833708620089,-0.0026409149103431,0.0018314100629797,-0.0018785535897455,0.0005494251103568,0.0003962659815948,1
NT066_ses1,0.0038046683999776,0.0021035891585768,-0.0015504655953518,-0.0001477909277633,0.0011883799954264,-0.0007506359034831,-6.68006091551721e-05,0.0008990978651726,0.0011778532039776,-0.0021571511144589,-0.0001685137080442,0.0011179547142422,1
NT067_ses1,-0.0047602445348156,-0.0003264294824602,-0.0006618698676981,-0.0017663064062435,0.0024298588728341,0.0011185739313526,0.00123126399301,-0.0016928484465755,3.710575580830781e-05,-0.0006853431975095,0.0014670849052899,0.0013591700543593,0
NT068_ses1,-0.0019710205471171,-0.0013801949448373,0.002694215536927,-0.0025786285737934,-0.001766439206995,0.0032028632910853,0.0010026815125938,0.0040143255969095,-0.0006662436089402,-0.0027387657992661,0.0024963525466851,0.0059487816030476,0
NT069_ses1,-0.00252156531985,0.001724859774056,-0.0027836101541946,0.0014467833548731,0.0004175666185171,-0.0007492249491146,-0.0006227962022772,-0.000460693892501,0.0006913965240922,-0.0016797468409918,-0.0014677868429276,0.0003331196620353,0
NT070_ses1,-0.0013096475886471,-0.0041705467341775,-0.003079470179752,-0.000342053308354,0.0020093505035907,0.0008275141189423,0.0031498876190844,0.0040992203757765,0.0003893053034196,-0.0011615564050228,0.0011359103978963,-0.001934493127162,1
NT074_ses1,0.0037520903157265,0.001288042223528,-0.0011383710631209,-0.0001613504276121,0.0003793943741797,-7.111727082616438e-05,0.0006040640089343,-0.0018459905074765,-0.0003128361826479,0.0026254370591642,-0.000195806792326,-0.0018690360780284,1
NT075_ses1,-0.0012488612276876,0.0022864404906924,-0.0026494270463845,-0.0019308305379622,0.0024927454080105,0.0013662439140214,-0.0014817420889128,-0.0005962665655235,0.0002118161175151,-0.0011034629378524,0.0001438459015778,0.0007740603276208,0
NT077_ses1,-0.0018153117495092,-0.0008334042346547,-0.000241422910145,-0.0029743006618101,0.0015314036867102,-0.0017203310868505,-0.0035611369461073,0.0038920473760949,0.0009628713126607,0.0002478225802983,-0.0027086480915879,-0.0002621372875189,0
NT078_ses1,0.0013979638583778,0.0007333911241288,0.0016207655463351,0.000798560504902,-0.0010072471659486,-0.0023919933560237,-0.00014438783261,0.0022310592175294,0.0015283101474806,-0.0004022111007903,-0.0009417080686921,-0.0016943425775074,1
NT080_ses1,-0.0007113827215547,-0.00209374878016,-0.0001439524998923,-0.0002163938368375,0.0013081608594236,-0.0008286604253694,-0.0007744360451453,0.000222676615425,0.000931414272829,0.0034401124947284,-0.0037552541658461,0.0001774386662802,1
NT081_ses1,0.0031931310276439,-0.0048062941455676,0.0014670316209898,0.0002648259021344,-0.0002933791656771,0.0023271021378244,0.0027016284919088,-0.0004828450956761,0.0001520073450592,-0.0006068361560305,0.0001836973019133,0.0014685337632947,1
NT082_ses1,-0.0030274971663682,0.0031651181558707,0.0007221051344665,0.0015594769650035,-0.0012413390421733,0.000502102057101,-0.0013008646711982,0.0007807462743412,0.0009923571778171,0.0013285405321444,0.0039626322999486,-0.0002807904383027,0
NT087_ses1,0.0002195945159821,-0.0001466499095158,-0.0036578178256284,0.0023123743333104,0.000155241380842,-0.0001660255671723,0.0004589130382438,-0.0002545599800373,0.0018381118471899,-0.0027398974418994,0.0009676253477959,0.0023377890541464,1
NT088_ses1,-0.0011481131096735,0.0023280707846648,4.466812413175969e-05,-0.0034409922700275,4.118654762901927e-05,0.0018618549278706,-0.0001062026029355,-0.0018787245787147,0.0006230650683336,-0.000247832956862,-0.0008871736269061,0.0001039958973551,0
NT090_ses1,-0.0039209706750794,5.955713679062744e-05,-0.0034546423086504,0.0017798650924347,0.0006419924823741,-0.0006895417311314,0.0009344255447412,0.0024781627045301,-0.0010366564326829,0.001098679694407,0.0023848871420145,0.0014739446636873,0
